timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk,label
1778050574.4599645,beam,106.13,3195,3,78.91,0.0,0.558,-1.006,racing
1778050756.0210085,beam,108.58,3240,3,75.39,0.0,0.723,0.834,racing
1778050569.036417,beam,96.36,2953,3,61.33,0.0,0.295,-2.333,racing
1778049824.998343,beam,55.25,2072,3,34.13,0.0,0.516,-0.309,normal
1778050495.7645695,beam,53.22,4421,1,100.0,0.0,1.679,-1.707,racing
1778050808.0430636,beam,120.26,5208,2,100.0,0.0,0.818,0.481,racing
1778050099.905419,beam,85.74,2480,3,27.78,0.0,0.109,0.8,normal
1778050886.132294,beam,82.72,2732,3,69.14,0.0,-0.448,-2.039,racing
1778050063.0107508,beam,62.5,2292,3,44.44,0.0,0.696,-0.044,normal
1778050025.0542796,beam,87.3,2509,3,26.98,0.0,0.006,-0.075,normal
1778051026.5440173,beam,20.29,772,1,0.0,42.06,-2.306,-4.47,racing
1778049873.883783,beam,92.72,2660,3,30.16,0.0,0.062,-0.477,normal
1778050708.088549,beam,93.99,4167,2,100.0,2.78,0.867,1.392,racing
1778050223.1757796,beam,75.72,1920,3,0.0,0.0,-0.921,-0.039,normal
1778049821.6162004,beam,47.63,2070,3,34.13,0.0,0.505,1.865,normal
1778050707.0176263,beam,90.91,4051,2,100.0,6.75,0.564,-2.48,racing
1778050732.856532,beam,131.7,3596,3,15.08,0.0,-0.685,-3.427,racing
1778050662.4976027,beam,106.4,3111,3,52.74,0.0,0.462,5.821,racing
1778050037.7868114,beam,61.84,1740,3,11.91,0.0,-0.454,-0.056,normal
1778049917.334261,beam,73.7,2212,3,26.98,0.0,0.112,-0.868,normal
1778050534.978282,beam,144.38,4087,3,90.23,0.0,0.275,-0.552,racing
1778050998.9122877,beam,59.12,935,3,11.91,0.0,-0.527,-0.571,racing
1778049871.2874,beam,92.02,2644,3,30.16,0.0,0.067,0.101,normal
1778050749.3680258,beam,92.89,4104,2,75.0,0.0,1.112,1.129,racing
1778049968.808308,beam,86.29,2240,3,0.0,0.0,-0.796,0.636,normal
1778050888.1540403,beam,81.04,3672,2,95.31,0.0,1.203,15.033,racing
1778051002.787887,beam,73.6,3408,2,100.0,0.0,1.534,0.849,racing
1778050972.330015,beam,82.79,3745,2,99.22,0.0,1.49,0.993,racing
1778050103.939085,beam,86.98,2525,3,29.76,0.0,0.086,-0.146,normal
1778049905.4973886,beam,64.78,2053,3,26.98,0.0,0.334,0.331,normal
1778050780.9462442,beam,96.83,2543,3,0.0,0.0,-0.918,-0.51,racing
1778049989.3706968,beam,54.68,1937,3,26.98,0.0,0.641,3.369,normal
1778050887.270498,beam,82.17,2749,3,78.91,0.0,-0.192,0.54,racing
1778050588.593234,beam,95.94,2827,3,36.51,0.0,0.308,2.852,racing
1778049972.93445,beam,71.61,1783,3,0.0,0.0,-0.755,0.375,normal
1778050784.6278565,beam,85.6,2561,3,36.9,0.0,0.301,0.142,racing
1778050497.704013,beam,60.27,2924,2,58.99,0.0,0.698,-2.885,racing
1778050875.469996,beam,113.03,4918,2,100.0,0.0,0.628,-0.203,racing
1778050144.5251107,beam,70.47,1745,3,0.0,0.0,-0.884,-0.894,normal
1778050561.251929,beam,73.91,3423,2,77.73,0.0,-1.016,-23.134,racing
1778050563.737565,beam,82.62,3731,2,87.11,0.0,1.315,-0.501,racing
1778050673.0935605,beam,101.0,2973,3,49.6,0.0,0.329,-1.024,racing
1778050046.467554,beam,44.4,1682,3,20.63,0.0,-0.647,-4.41,normal
1778050652.046595,beam,123.23,3522,3,55.47,0.0,0.472,1.583,racing
1778050715.578376,beam,115.95,5035,2,100.0,0.0,0.814,0.295,racing
1778049965.971938,beam,91.67,2588,3,23.81,0.0,-0.003,0.644,normal
1778050830.3719163,beam,88.94,2857,3,80.86,0.0,0.86,1.447,racing
1778050855.778694,beam,99.0,2495,3,0.0,100.0,-23.168,-65.358,racing
1778050708.6120455,beam,95.79,4237,2,100.0,2.78,0.822,-0.271,racing
1778050714.695725,beam,113.49,4935,2,100.0,2.78,0.555,-1.185,racing
1778050540.6704755,beam,147.95,4135,3,59.77,0.0,-0.001,0.091,racing
1778050101.2099493,beam,86.08,2490,3,28.17,0.0,0.038,-0.372,normal
1778051007.0707338,beam,94.0,4169,2,100.0,0.0,1.242,-0.22,racing
1778050970.3498688,beam,75.65,2658,3,100.0,0.0,0.864,-0.562,racing
1778050211.6569884,beam,62.79,1993,3,25.4,0.0,0.314,0.362,normal
1778049847.0799594,beam,81.92,2431,3,31.35,0.0,0.114,-1.294,normal
1778049958.541144,beam,89.58,2538,3,23.81,0.0,-0.146,-0.668,normal
1778050250.2536376,beam,54.58,1626,3,14.29,0.0,-0.421,-0.175,normal
1778050641.5625267,beam,98.93,2970,3,55.86,0.0,0.192,0.649,racing
